id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
1,,Aflenz,47.54594,15.24069,783.2,1983-05-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
2,,Aigen im Ennstal,47.53278,14.13826,641.0,1993-02-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
3,,Allentsteig,48.69083,15.36694,598.8,1992-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
4,,Amstetten,48.10889,14.895,266.0,1993-02-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
5,,Bad Aussee,47.6105,13.75844,743.1,1983-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,False,,,,,ja
6,,Bad Bleiberg,46.62528,13.68444,908.7,2007-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
7,,Bad Gastein,47.11056,13.13336,1092.0,2010-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,ja
8,,Bad Gleichenberg,46.87222,15.90361,269.0,2003-04-19 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
9,,Bad Goisern,47.62194,13.64472,538.0,1995-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
10,,Bad Mitterndorf,47.55333,13.93472,814.0,1983-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
11,,Bad Radkersburg,46.69222,15.99333,207.0,1992-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
12,,Baden,48.011391,16.235556,244.8,1982-12-01 00:00:00+00:00,2012-05-31 23:59:59+00:00,Niederösterreich,True,False,,,,,ja
13,,Bernstein,47.40833,16.26139,630.8,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,,,,ja
14,,Bischofshofen,47.40667,13.22111,549.9,1996-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,ja
15,,Bregenz,47.49917,9.74611,424.0,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,ja
16,,Brenner,47.00722,11.51083,1412.0,1993-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
17,,Bruck an der Mur,47.40556,15.24972,482.0,2005-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
18,,Bruckneudorf,48.01278,16.845,165.6,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,,,,ja
19,,Dellach,46.74189,13.08286,628.2,1983-05-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,False,,,,,ja
20,,Ehrwald,47.40417,10.92,982.0,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
21,,Bad Eisenkappel,46.49056,14.59333,623.0,1983-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
22,,Eisenstadt Nordost,47.85417,16.53833,184.0,1989-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,,,,ja
